"congno","sticpsr","cd","stalpha","occup","score1","score2","year","stgj","po","dv","dvp","redist","i2","demqa","i1","demqal","nstate","dpvote","normvote","dvfix","dvpfix"
NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA
97,47,4,"NORTH","C",0,-0.08,0.163,82,33,0,0.52,0.534,1,1,1,1,"1","North_Ca",0.4916,0.420748158260318,0.42
NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA
97,47,5,"NORTH","C",0,-0.073,0.042,82,33,1,0.606,0.511,1,1,0,1,"0","North_Ca",0.44251,0.371658158260318,0.506
NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA
97,47,6,"NORTH","C",0,0.528,0.124,82,33,0,0.541,0.489,1,-1,-1,1,"1","North_Ca",0.46325,0.392398158260318,0.641
NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA
97,47,7,"NORTH","C",0,-0.186,0.208,82,33,0,0.717,0.687,1,1,1,1,"0","North_Ca",0.55815,0.487298158260318,0.617
NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA
97,47,8,"NORTH","C",0,-0.079,0.229,82,33,1,0.577,0.585,1,1,0,1,"1","North_Ca",0.46159,0.390738158260318,0.477
NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA
97,47,9,"NORTH","C",0,0.303,-0.111,82,33,1,0.424,0.414,1,-1,0,-1,"0","North_Ca",0.48476,0.413908158260318,0.524
NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA
97,47,10,"NORTH","C",0,0.266,-0.064,82,33,0,NA,0.303,1,-1,-1,-1,"-1","North_Ca",0.43561,0.364758158260318,NA
NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA
97,47,11,"NORTH","C",0,0.335,0.142,82,33,1,0.504,0.465,1,-1,0,1,"1","North_Ca",0.46911,0.398258158260318,0.604
NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA
97,36,1,"NORTH","D",0,-0.192,-0.026,82,34,1,0.721,0.571,0,1,0,0,"0","North_Da",0.29019,0.325629601168619,0.621
NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA
97,24,1,"OHIO","0",0.191,-0.209,82,35,1,0.653,0.587,1,1,0,-1,-1,"Ohio","0.4129",0.409592429486468,0.553,0.687
97,24,2,"OHIO","0",-0.113,-0.012,82,35,0,0.353,0.237,1,-1,-1,1,1,"Ohio","0.36334",0.360032429486468,0.453,0.137
97,24,3,"OHIO","0",-0.223,-0.078,82,35,0,NA,0.589,1,1,1,1,0,"Ohio","0.51565",0.512342429486468,NA,0.489
97,24,4,"OHIO","1",0,0,82,35,0,0.354,0.498,1,-1,-1,-1,-1,"Ohio","0.31984",0.316532429486468,0.454,0.598
97,24,5,"OHIO","0",0.376,-0.04,82,35,1,0.448,0.296,1,-1,0,-1,-1,"Ohio","0.3551",0.351792429486468,0.548,0.396
97,24,6,"OHIO","0",0.286,-0.022,82,35,1,0.408,0.454,1,-1,0,0,-1,"Ohio","0.4223",0.418992429486468,0.508,0.454
97,24,7,"OHIO","0",0.248,-0.082,82,35,0,0.428,0.239,1,0,0,-1,-1,"Ohio","0.42061",0.417302429486468,0.428,0.339
97,24,8,"OHIO","0",0.366,-0.048,82,35,0,0.336,0.24,1,-1,-1,-1,-1,"Ohio","0.39317",0.389862429486468,0.436,0.34
97,24,9,"OHIO","0",0.215,-0.161,82,35,0,0.596,0.415,1,-1,-1,1,1,"Ohio","0.50764",0.504332429486468,0.696,0.315
97,24,10,"OHIO","0",0.311,-0.056,82,35,0,0.367,0.256,1,-1,-1,-1,-1,"Ohio","0.41625",0.412942429486468,0.467,0.356
97,24,11,"OHIO","0",0.074,-0.08,82,35,0,0.622,0.572,1,1,1,-1,-1,"Ohio","0.43404",0.430732429486468,0.522,0.672
97,24,12,"OHIO","0",-0.224,-0.056,82,35,1,0.483,0.526,1,1,0,-1,-1,"Ohio","0.40904",0.405732429486468,0.383,0.626
97,24,13,"OHIO","0",-0.276,-0.128,82,35,0,0.634,0.638,1,1,1,1,1,"Ohio","0.43453",0.431222429486468,0.534,0.538
97,24,14,"OHIO","0",-0.446,-0.26,82,35,0,0.705,0.649,1,1,1,1,1,"Ohio","0.55611",0.552802429486468,0.605,0.549
97,24,15,"OHIO","0",0.178,-0.129,82,35,0,0.31,0.274,1,-1,-1,-1,-1,"Ohio","0.40384",0.400532429486468,0.41,0.374
97,24,16,"OHIO","0",0.155,-0.085,82,35,0,0.342,0.207,1,-1,-1,-1,-1,"Ohio","0.39955",0.396242429486468,0.442,0.307
97,24,17,"OHIO","1",0.519,-0.005,82,35,1,0.449,0.419,1,-1,0,-1,0,"Ohio","0.36801",0.364702429486468,0.549,0.519
97,24,18,"OHIO","0",-0.013,0.034,82,35,0,NA,0.761,1,1,1,1,1,"Ohio","0.48215",0.478842429486468,NA,0.661
97,24,19,"OHIO","0",0.044,-0.04,82,35,0,0.606,NA,1,0,0,-1,0,"Ohio","0.55301",0.549702429486468,0.606,NA
97,24,20,"OHIO","0",-0.279,-0.025,82,35,0,0.883,NA,1,1,1,1,1,"Ohio","0.55863",0.555322429486467,0.783,NA
97,24,21,"OHIO","0",-0.519,-0.164,82,35,0,0.861,0.882,1,1,1,1,1,"Ohio","0.88755",0.884242429486467,0.761,0.782
97,53,1,"OKLAHOM","0",0.002,0.104,82,36,0,0.541,0.584,1,1,1,1,1,"Oklahoma","0.30548",0.309585963046465,0.441,0.484
97,53,2,"OKLAHOM","0",-0.182,-0.007,82,36,0,0.726,0.54,1,1,1,1,0,"Oklahoma","0.43167",0.435775963046465,0.626,0.44
97,53,3,"OKLAHOM","0",0.023,0.269,82,36,0,0.822,NA,1,1,1,1,1,"Oklahoma","0.49907",0.503175963046465,0.722,NA
97,53,4,"OKLAHOM","0",0.027,0.164,82,36,0,0.655,0.51,1,1,1,0,NA,"Oklahoma","0.39932",0.403425963046465,0.555,0.51
97,53,5,"OKLAHOM","0",0.354,0.006,82,36,0,0.301,0.29,1,-1,-1,-1,0,"Oklahoma","0.30098",0.305085963046465,0.401,0.39
97,53,6,"OKLAHOM","0",0.105,0.18,82,36,1,0.754,0.647,1,1,0,1,1,"Oklahoma","0.28192",0.286025963046465,0.654,0.547
97,72,1,"OREGON","0",-0.187,-0.199,82,37,0,0.538,0.66,1,1,1,1,1,"Oregon","0.4396",0.434023384042362,0.438,0.56
97,72,2,"OREGON","0",0.673,-0.021,82,37,0,0.444,NA,1,0,-1,1,1,"Oregon","0.39711",0.391533384042362,0.444,NA
97,72,3,"OREGON","0",-0.315,-0.255,82,37,0,0.783,0.72,1,1,1,0,NA,"Oregon","0.5399",0.534323384042362,0.683,0.72
97,72,4,"OREGON","0",-0.236,-0.282,82,37,0,0.591,0.548,1,1,1,1,0,"Oregon","0.42235",0.416773384042362,0.491,0.448
97,14,1,"PENNSYL","0",-0.325,-0.145,82,38,0,0.731,NA,1,1,1,0,1,"Pennsylv","0.66468",0.659443204662125,0.631,NA
97,14,2,"PENNSYL","0",-0.495,-0.181,82,38,0,NA,NA,1,1,1,1,1,"Pennsylv","0.85793",0.852693204662125,NA,NA
97,14,3,"PENNSYL","1",0,0,82,38,1,0.507,0.449,1,-1,0,1,1,"Pennsylv","0.65137",0.646133204662125,0.607,0.349
97,14,4,"PENNSYL","0",-0.006,-0.028,82,38,1,0.609,NA,1,-1,0,-1,-1,"Pennsylv","0.44447",0.439233204662125,0.709,NA
97,14,5,"PENNSYL","0",0.275,-0.064,82,38,0,0.328,0.241,1,-1,-1,-1,-1,"Pennsylv","0.32013",0.314893204662125,0.428,0.341
97,14,6,"PENNSYL","0",-0.075,0.039,82,38,0,0.72,0.671,1,1,1,1,1,"Pennsylv","0.39488",0.389643204662125,0.62,0.571
97,14,7,"PENNSYL","0",-0.37,-0.329,82,38,1,0.554,0.531,1,1,0,1,0,"Pennsylv","0.39639",0.391153204662125,0.454,0.431
97,14,8,"PENNSYL","0",0.174,-0.242,82,38,1,0.507,0.49,1,-1,0,1,0,"Pennsylv","0.36431",0.359073204662125,0.607,0.39
97,14,9,"PENNSYL","0",0.409,-0.024,82,38,1,0.349,NA,1,-1,0,-1,-1,"Pennsylv","0.34456",0.339323204662125,0.449,NA
97,14,10,"PENNSYL","0",0.025,-0.09,82,38,0,0.325,0.229,1,-1,-1,-1,-1,"Pennsylv","0.41643",0.411193204662125,0.425,0.329
97,14,11,"PENNSYL","0",0.138,-0.039,82,38,0,0.535,0.481,1,-1,-1,1,1,"Pennsylv","0.4586",0.453363204662125,0.635,0.381
97,14,12,"PENNSYL","0",-0.144,0.291,82,38,0,0.64,0.594,1,1,1,1,1,"Pennsylv","0.47533",0.470093204662125,0.54,0.494
97,14,13,"PENNSYL","0",0.095,-0.252,82,38,0,0.354,0.294,1,-1,-1,-1,-1,"Pennsylv","0.36482",0.359583204662125,0.454,0.394
97,14,14,"PENNSYL","0",-0.338,-0.059,82,38,0,0.787,0.699,1,1,1,0,1,"Pennsylv","0.62755",0.622313204662125,0.687,0.699
97,14,15,"PENNSYL","0",0.264,-0.177,82,38,0,0.422,0.4,1,-1,-1,-1,0,"Pennsylv","0.43536",0.430123204662125,0.522,0.5
97,14,16,"PENNSYL","0",0.401,-0.157,82,38,0,0.287,0.231,1,-1,-1,-1,-1,"Pennsylv","0.28769",0.282453204662125,0.387,0.331
97,14,17,"PENNSYL","0",-0.198,-0.002,82,38,0,0.424,0.606,1,0,0,1,0,"Pennsylv","0.36146",0.356223204662125,0.424,0.506
97,14,18,"PENNSYL","0",-0.223,-0.155,82,38,0,0.546,0.685,1,1,1,1,1,"Pennsylv","0.45205",0.446813204662125,0.446,0.585
97,14,19,"PENNSYL","0",0.21,-0.177,82,38,0,0.292,0.233,1,-1,-1,-1,0,"Pennsylv","0.34267",0.337433204662125,0.392,0.333
97,14,20,"PENNSYL","0",-0.12,0.163,82,38,0,0.769,0.725,1,1,1,1,1,"Pennsylv","0.53964",0.534403204662125,0.669,0.625
97,14,21,"PENNSYL","0",-0.164,0.173,82,38,0,0.498,0.499,1,0,1,1,1,"Pennsylv","0.51164",0.506403204662125,0.498,0.399
97,14,22,"PENNSYL","0",-0.098,0.048,82,38,0,0.793,0.702,1,1,1,1,1,"Pennsylv","0.55732",0.552083204662125,0.693,0.602
97,14,23,"PENNSYL","0",0.128,-0.128,82,38,0,0.348,0.251,1,-1,-1,-1,-1,"Pennsylv","0.41028",0.405043204662125,0.448,0.351
97,5,1,"RHODE","I",0,-0.28,-0.016,82,39,1,0.613,0.676,1,1,0,1,"1","Rhode_Is",0.56841,0.554545576502139,0.513
NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA
97,5,2,"RHODE","I",0,-0.089,-0.314,82,39,1,0.444,0.447,1,-1,0,1,"1","Rhode_Is",0.55339,0.53952557650214,0.544
NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA
97,48,1,"SOUTH","C",0,0.444,-0.007,82,40,0,0.453,0.483,1,-1,-1,0,"-1","South_Ca",0.45295,0.381369441820658,0.553
NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA
97,48,2,"SOUTH","C",0,0.312,0.048,82,40,0,0.415,0.443,1,-1,-1,-1,"0","South_Ca",0.46711,0.395529441820659,0.515
NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA
97,48,3,"SOUTH","C",0,-0.124,0.061,82,40,0,NA,0.603,1,1,1,1,"0","South_Ca",0.51071,0.439129441820658,NA
NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA
97,48,4,"SOUTH","C",0,0.317,0.037,82,40,0,0.367,NA,1,-1,-1,-1,"-1","South_Ca",0.47736,0.405779441820659,0.467
NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA
